"event_time","host_name","log_type","check_item","check_result","check_detail","message"
"2026-05-26 02:00:01","bastion-01","U","U-24","Y","소유자 root, 권한 적정 (기대값 충족)","사용자 시스템 환경변수 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-25","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","world writable 파일 점검 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-26","Y","소유자 root, 권한 적정 (기대값 충족)","/dev에 존재하지 않는 device 파일 점검"
"2026-05-26 02:00:01","bastion-01","U","U-27","Y","소유자 root, 권한 적정 (기대값 충족)",".rhosts hosts.equiv 사용 금지"
"2026-05-26 02:00:01","bastion-01","U","U-28","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","접속 IP 및 포트 제한 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-29","N","권한/소유자 정책 미충족 (조치 필요)","hosts.lpd 파일 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-30","Y","소유자 root, 권한 적정 (기대값 충족)","UMASK 설정 관리"
"2026-05-26 02:00:01","bastion-01","U","U-31","Y","소유자 root, 권한 적정 (기대값 충족)","홈 디렉터리 소유자 및 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-32","Y","소유자 root, 권한 적정 (기대값 충족)","홈 디렉터리로 지정한 디렉터리의 존재 관리"
"2026-05-26 02:00:01","bastion-01","U","U-33","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","숨겨진 파일 및 디렉터리 검색 및 제거 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-34","Y","불필요 서비스 비활성화 상태","Finger 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-35","Y","불필요 서비스 비활성화 상태","공유 서비스에 대한 익명 접근 제한"
"2026-05-26 02:00:01","bastion-01","U","U-36","Y","불필요 서비스 비활성화 상태","r 계열 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-37","Y","불필요 서비스 비활성화 상태","crontab 설정파일 권한 설정"
"2026-05-26 02:00:01","bastion-01","U","U-38","Y","불필요 서비스 비활성화 상태","DoS 공격에 취약한 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-39","Y","불필요 서비스 비활성화 상태","불필요한 NFS 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-40","Y","불필요 서비스 비활성화 상태","NFS 접근 통제"
"2026-05-26 02:00:01","bastion-01","U","U-41","Y","불필요 서비스 비활성화 상태","불필요한 automountd 제거"
"2026-05-26 02:00:01","bastion-01","U","U-42","Y","불필요 서비스 비활성화 상태","불필요한 RPC 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-43","N","NIS NIS+ 점검 — 정책 미충족, 서비스/설정 점검 필요","NIS NIS+ 점검"
"2026-05-26 02:00:01","bastion-01","U","U-44","Y","불필요 서비스 비활성화 상태","tftp talk 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-45","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","메일 서비스 버전 점검 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-46","Y","불필요 서비스 비활성화 상태","일반 사용자의 메일 서비스 실행 방지"
"2026-05-26 02:00:01","bastion-01","U","U-47","Y","불필요 서비스 비활성화 상태","스팸 메일 릴레이 제한"
"2026-05-26 02:00:01","bastion-01","U","U-48","Y","불필요 서비스 비활성화 상태","expn vrfy 명령어 제한"
"2026-05-26 02:00:01","bastion-01","U","U-49","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","DNS 보안 버전 패치 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-50","Y","불필요 서비스 비활성화 상태","DNS Zone Transfer 설정"
"2026-05-26 02:00:01","bastion-01","U","U-51","Y","불필요 서비스 비활성화 상태","DNS 동적 업데이트 설정 금지"
"2026-05-26 02:00:01","bastion-01","U","U-52","Y","불필요 서비스 비활성화 상태","Telnet 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-53","Y","불필요 서비스 비활성화 상태","FTP 서비스 정보 노출 제한"
"2026-05-26 02:00:01","bastion-01","U","U-54","Y","불필요 서비스 비활성화 상태","암호화되지 않는 FTP 서비스 비활성화"
"2026-05-26 02:00:01","bastion-01","U","U-55","Y","불필요 서비스 비활성화 상태","FTP 계정 Shell 제한"
"2026-05-26 02:00:01","bastion-01","U","U-56","Y","불필요 서비스 비활성화 상태","FTP 서비스 접근 제어 설정"
"2026-05-26 02:00:01","bastion-01","U","U-57","Y","불필요 서비스 비활성화 상태","Ftpusers 파일 설정"
"2026-05-26 02:00:01","bastion-01","U","U-58","Y","불필요 서비스 비활성화 상태","불필요한 SNMP 서비스 구동 점검"
"2026-05-26 02:00:01","bastion-01","U","U-59","Y","불필요 서비스 비활성화 상태","안전한 SNMP 버전 사용"
"2026-05-26 02:00:01","bastion-01","U","U-60","Y","불필요 서비스 비활성화 상태","SNMP Community String 복잡성 설정"
"2026-05-26 02:00:01","bastion-01","U","U-61","Y","불필요 서비스 비활성화 상태","SNMP Access Control 설정"
"2026-05-26 02:00:01","bastion-01","U","U-62","Y","불필요 서비스 비활성화 상태","로그인 시 경고 메시지 설정"
"2026-05-26 02:00:01","bastion-01","U","U-63","N","sudo 명령어 접근 관리 — 정책 미충족, 서비스/설정 점검 필요","sudo 명령어 접근 관리"
"2026-05-26 02:00:01","bastion-01","U","U-64","C","운영자 수동 확인 필요 (정책 기준 대조 요망)","주기적 보안 패치 및 벤더 권고사항 적용 (수동확인)"
"2026-05-26 02:00:01","bastion-01","U","U-65","Y","로깅/시각동기화 정상","NTP 및 시각 동기화 설정"
"2026-05-26 02:00:01","bastion-01","U","U-66","Y","로깅/시각동기화 정상","정책에 따른 시스템 로깅 설정"
"2026-05-26 02:00:01","bastion-01","U","U-67","Y","로깅/시각동기화 정상","로그 디렉터리 소유자 및 권한 설정"
